"AMA_SITE_CODE","NATTS","state_name","Setting","location","1,3-Butadiene","Acetaldehyde","Arsenic Pm10 Lc","Benzene","Benzo(a)pyrene (total tsp & vapor)","Beryllium Pm10 Lc","Cadmium Pm10 Lc","Carbon tetrachloride","Chloroform","Chromium VI (LC)","Ethylbenzene","Ethylene dichloride","Formaldehyde","Lead Pm10 Lc","Manganese Pm10 Lc","Methylene chloride","Naphthalene (total tsp & vapor)","Nickel Pm10 Lc","Tetrachloroethylene","Toluene","Trichloroethylene","Vinyl chloride"
"080450007","No","Colorado",NA,NA,"No Trend","Undetermined",NA,"No Trend",NA,NA,NA,NA,NA,NA,"No Trend",NA,"No Trend",NA,NA,NA,NA,NA,NA,"No Trend",NA,NA
"080450009","No","Colorado",NA,NA,"Undetermined","Undetermined",NA,"Decreasing",NA,NA,NA,NA,NA,NA,"Decreasing",NA,"Undetermined",NA,NA,NA,NA,NA,NA,"No Trend",NA,NA
"080450018","No","Colorado",NA,NA,"Undetermined","Undetermined",NA,"Undetermined",NA,NA,NA,NA,NA,NA,"Undetermined",NA,"Undetermined",NA,NA,NA,NA,NA,NA,"Undetermined",NA,NA
"080450019","No","Colorado",NA,NA,"Undetermined","Undetermined",NA,"Undetermined",NA,NA,NA,NA,NA,NA,"Undetermined",NA,"Undetermined",NA,NA,NA,NA,NA,NA,"Undetermined",NA,NA
"080770003","No","Colorado",NA,NA,"Undetermined","Undetermined",NA,"Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"080770016","No","Colorado",NA,NA,"Undetermined","Undetermined",NA,"Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"080770017","Yes","Colorado","Urban","Grand Junction, CO-17",NA,NA,"Decreasing",NA,NA,"Decreasing","Decreasing",NA,NA,"No Trend",NA,NA,NA,"Decreasing","Decreasing",NA,NA,"No Trend",NA,NA,NA,NA
"080770018","Yes","Colorado","Urban","Grand Junction, CO-18","No Trend","No Trend",NA,"Decreasing","No Trend",NA,NA,"No Trend","Increasing",NA,"Decreasing","Undetermined","No Trend",NA,NA,"Increasing","No Trend",NA,"No Trend","Decreasing","No Trend","Undetermined"
"090090027","No","Connecticut",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No Trend",NA,NA,NA,NA,NA,NA,NA,NA
"100010002","No","Delaware",NA,NA,"Undetermined","Undetermined",NA,"Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"100031007","No","Delaware",NA,NA,"Undetermined","Undetermined",NA,"Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"100031008","No","Delaware",NA,NA,"Decreasing","Undetermined",NA,"Decreasing",NA,NA,NA,"No Trend","No Trend",NA,"Decreasing","No Trend","Undetermined",NA,NA,"Increasing",NA,NA,"No Trend","Decreasing","No Trend","No Trend"
"100032004","No","Delaware",NA,NA,"Decreasing","No Trend",NA,"Decreasing",NA,NA,NA,"No Trend","No Trend",NA,"No Trend","Increasing","No Trend","Undetermined",NA,"No Trend",NA,NA,"Decreasing","Decreasing","No Trend","No Trend"
"100051002","No","Delaware",NA,NA,"Undetermined","Undetermined",NA,"Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"110010043","Yes","District Of Columbia","Urban","Washington, DC","Decreasing","No Trend","No Trend","No Trend","No Trend","Decreasing","Decreasing","No Trend","No Trend","No Trend","Decreasing","Increasing","No Trend","Decreasing","No Trend","Increasing","Decreasing","Decreasing","No Trend","Decreasing","No Trend","No Trend"
"120110009","No","Florida",NA,NA,NA,NA,NA,"Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined",NA,NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"120110010","No","Florida",NA,NA,"No Trend",NA,NA,"No Trend",NA,NA,NA,"No Trend","No Trend",NA,"No Trend","No Trend",NA,NA,NA,"No Trend",NA,NA,"No Trend","No Trend","No Trend","Undetermined"
"120110011","No","Florida",NA,NA,NA,NA,NA,"Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined",NA,NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"120111002","No","Florida",NA,NA,"No Trend","Undetermined",NA,"No Trend",NA,NA,NA,"No Trend","No Trend",NA,"No Trend","Decreasing","Undetermined",NA,NA,"No Trend",NA,NA,"Decreasing","Increasing","Decreasing","Undetermined"
"120112004","No","Florida",NA,NA,"Undetermined",NA,NA,"Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined",NA,NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"120113002","No","Florida",NA,NA,"Undetermined",NA,NA,"Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined",NA,NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"120115005","No","Florida",NA,NA,"No Trend",NA,NA,"No Trend",NA,NA,NA,"No Trend","Decreasing",NA,"Increasing","No Trend",NA,NA,NA,"No Trend",NA,NA,"Decreasing","No Trend","No Trend","Undetermined"
"120118002","No","Florida",NA,NA,"Undetermined",NA,NA,"Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined",NA,NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"120310032","No","Florida",NA,NA,NA,NA,NA,"Undetermined",NA,NA,NA,"Undetermined",NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined",NA,NA
"120310077","No","Florida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined",NA,NA
"120310084","No","Florida",NA,NA,NA,NA,NA,"Undetermined",NA,NA,NA,"Undetermined",NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined",NA,NA
"120570081","No","Florida",NA,NA,"Undetermined","Undetermined",NA,"Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"120571065","No","Florida",NA,NA,"No Trend","No Trend","No Trend","No Trend",NA,"No Trend","No Trend","No Trend","No Trend",NA,"No Trend","Undetermined","No Trend","No Trend","No Trend","No Trend",NA,"No Trend","No Trend","No Trend","Undetermined","Undetermined"
"120571075","No","Florida",NA,NA,"Undetermined","Undetermined",NA,"Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"120573002","Yes","Florida","Urban","Tampa, FL","Decreasing","No Trend","No Trend","Decreasing","Increasing","No Trend","Decreasing","Decreasing","No Trend","No Trend","No Trend","No Trend","No Trend","Decreasing","No Trend","No Trend","No Trend","Decreasing","Decreasing","No Trend","Undetermined","Undetermined"
"120730012","No","Florida",NA,NA,"Undetermined",NA,NA,"Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined",NA,NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"120860029","No","Florida",NA,NA,"Undetermined",NA,NA,"Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined",NA,NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"120860032","No","Florida",NA,NA,"Undetermined",NA,NA,"Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined",NA,NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"120951004","No","Florida",NA,NA,NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined",NA,NA,NA,NA,NA,NA,"Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,NA,NA
"120952002","No","Florida",NA,NA,"Decreasing","No Trend","Undetermined","Decreasing",NA,"Undetermined","Undetermined","Decreasing","No Trend",NA,"No Trend","No Trend","Decreasing","Undetermined","Undetermined","No Trend",NA,"Undetermined","Decreasing","No Trend","Decreasing","Undetermined"
"121030004","No","Florida",NA,NA,"Undetermined","Undetermined",NA,"Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"121030018","No","Florida",NA,NA,"Decreasing","Decreasing","No Trend","Decreasing",NA,"No Trend","Decreasing","Decreasing","No Trend",NA,"Decreasing","No Trend","No Trend","No Trend","No Trend","No Trend",NA,"Decreasing","Decreasing","Decreasing","Decreasing","Undetermined"
"121030026","Yes","Florida","Urban","Pinellas County, FL","Decreasing","No Trend","No Trend","Decreasing","No Trend","No Trend","Decreasing","Decreasing","Decreasing","Undetermined","Decreasing","Decreasing","No Trend","No Trend","No Trend","Increasing","No Trend","Decreasing","Decreasing","Decreasing","Decreasing","Undetermined"
"121031008","No","Florida",NA,NA,"Undetermined","Undetermined",NA,"Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"121032008","No","Florida",NA,NA,NA,NA,NA,"Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined",NA,NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"121035002","No","Florida",NA,NA,"Undetermined","Undetermined",NA,"Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"130090001","No","Georgia",NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined",NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"130210012","No","Georgia",NA,NA,"Undetermined",NA,NA,"No Trend","Undetermined",NA,NA,"No Trend","Undetermined",NA,"Undetermined","Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","No Trend","Undetermined","Undetermined"
"130510021","No","Georgia",NA,NA,"Undetermined","Decreasing",NA,"No Trend","Undetermined",NA,NA,"No Trend","Undetermined",NA,"No Trend","Undetermined","No Trend",NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Decreasing","Undetermined","Undetermined"
"130690002","No","Georgia",NA,NA,"Undetermined",NA,NA,"No Trend","Undetermined",NA,NA,"No Trend","Undetermined",NA,"Undetermined","Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","No Trend","Undetermined","Undetermined"
"130850001","No","Georgia",NA,NA,"Undetermined","No Trend",NA,"Increasing","Undetermined",NA,NA,"No Trend","Undetermined",NA,"Undetermined","Undetermined","No Trend",NA,NA,"Undetermined","Undetermined",NA,"Undetermined","No Trend","Undetermined","Undetermined"
"130890002","Yes","Georgia","Urban","Atlanta, GA","Undetermined","Decreasing","No Trend","Decreasing","No Trend","Undetermined","No Trend","No Trend","Undetermined","No Trend","No Trend","Undetermined","No Trend","Decreasing","No Trend","Undetermined","No Trend","No Trend","No Trend","Decreasing","Undetermined","Undetermined"
"130890003","No","Georgia",NA,NA,"Undetermined",NA,NA,"Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined",NA,NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"130893001","No","Georgia",NA,NA,NA,"Undetermined",NA,"Undetermined",NA,NA,NA,NA,NA,NA,"Undetermined",NA,"Undetermined",NA,NA,NA,NA,NA,NA,"Undetermined",NA,NA
"131150004","No","Georgia",NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined",NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"131210020","No","Georgia",NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined",NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"131273001","No","Georgia",NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined",NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined","Undetermined",NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"131390003","No","Georgia",NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined",NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"131530001","No","Georgia",NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined",NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"131850003","No","Georgia",NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined",NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"132155000","No","Georgia",NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined",NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"132230003","No","Georgia",NA,NA,"Undetermined",NA,NA,"Decreasing","Undetermined",NA,NA,"No Trend","Undetermined",NA,"Undetermined","Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Decreasing","Undetermined","Undetermined"
"132450092","No","Georgia",NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined",NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"132470001","No","Georgia",NA,NA,NA,NA,NA,"Decreasing",NA,NA,NA,NA,NA,NA,"No Trend",NA,NA,NA,NA,NA,NA,NA,NA,"Decreasing",NA,NA
"150032004","No","Hawaii",NA,NA,"Undetermined","No Trend",NA,"No Trend",NA,NA,NA,"Undetermined","Undetermined",NA,NA,NA,"No Trend",NA,NA,"Undetermined",NA,NA,"Undetermined",NA,"Undetermined","Undetermined"
"160010010","No","Idaho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA
"160010100","No","Idaho",NA,NA,"Undetermined",NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined","Undetermined","Undetermined",NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined","Undetermined",NA,"Undetermined","Undetermined","Undetermined","Undetermined","Undetermined"
"160010200","No","Idaho",NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined",NA,"Undetermined","Undetermined","Undetermined","Undetermined",NA,"Undetermined","Undetermined","Undetermined","Undetermined","Undetermined","Undetermined",NA,"Undetermined","Undetermined","Undetermined","Undetermined","Undetermined"
"160010300","No","Idaho",NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160270004","No","Idaho",NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined",NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"160270400","No","Idaho",NA,NA,"Undetermined","Undetermined",NA,"Undetermined",NA,NA,NA,NA,"Undetermined",NA,"Undetermined","Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"170310014","No","Illinois",NA,NA,NA,NA,"Undetermined",NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,"Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,NA,NA
"170310022","No","Illinois",NA,NA,NA,NA,"Undetermined",NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,"Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,NA,NA
"170310039","No","Illinois",NA,NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined",NA,NA
"170310049","No","Illinois",NA,NA,NA,NA,"Undetermined",NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,"Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,NA,NA
"170310052","No","Illinois",NA,NA,NA,NA,"Undetermined",NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,"Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,NA,NA
"170310060","No","Illinois",NA,NA,NA,NA,"Undetermined",NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,"Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,NA,NA
"170310072","No","Illinois",NA,NA,NA,"Undetermined",NA,"Undetermined",NA,NA,NA,NA,NA,NA,"Undetermined",NA,"Undetermined",NA,NA,NA,NA,NA,NA,"Undetermined",NA,NA
"170313103","No","Illinois",NA,NA,"No Trend","Increasing",NA,"Decreasing",NA,NA,NA,"Decreasing","No Trend",NA,"Decreasing","No Trend","No Trend",NA,NA,"Increasing",NA,NA,"No Trend","Decreasing","Decreasing","Undetermined"
"170314201","Yes","Illinois","Urban","Chicago, IL","No Trend","Increasing","No Trend","Decreasing","No Trend","No Trend","Decreasing","Decreasing","No Trend","No Trend","Decreasing","No Trend","No Trend","Decreasing","No Trend","Increasing","No Trend","No Trend","Decreasing","No Trend","Decreasing","Undetermined"
"170316001","No","Illinois",NA,NA,NA,NA,"Undetermined",NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,"Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,NA,NA
"17031IIT1","No",NA,NA,NA,NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171150002","No","Illinois",NA,NA,NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined",NA,NA,NA,NA,NA,NA,"Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,NA,NA
"171170002","No","Illinois",NA,NA,NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined",NA,NA,NA,NA,NA,NA,"Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,NA,NA
"171190010","No","Illinois",NA,NA,NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined",NA,NA,NA,NA,NA,NA,"Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,NA,NA
"171191007","No","Illinois",NA,NA,NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined",NA,NA,NA,NA,NA,NA,"Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,NA,NA
"171199010","No","Illinois",NA,NA,"Undetermined","Undetermined",NA,"Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"171430037","No","Illinois",NA,NA,NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined",NA,NA,NA,NA,NA,NA,"Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,NA,NA
"171610001","No","Illinois",NA,NA,NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined",NA,NA,NA,NA,NA,NA,"Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,NA,NA
"171630010","No","Illinois",NA,NA,NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined",NA,NA,NA,NA,NA,NA,"Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,NA,NA
"171639010","No","Illinois",NA,NA,NA,NA,"Undetermined",NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,"Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,NA,NA
"180030004","No","Indiana",NA,NA,"Undetermined",NA,NA,"Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined",NA,NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"180190009","No","Indiana",NA,NA,"No Trend",NA,NA,"No Trend",NA,NA,NA,"No Trend","No Trend",NA,"No Trend","Increasing",NA,NA,NA,"No Trend",NA,NA,"No Trend","No Trend","No Trend","Undetermined"
"180390003","No","Indiana",NA,NA,"No Trend",NA,NA,"No Trend",NA,NA,NA,"No Trend","No Trend",NA,"No Trend","Undetermined",NA,NA,NA,"No Trend",NA,NA,"No Trend","No Trend","No Trend","Undetermined"
"180890022","No","Indiana",NA,NA,"No Trend","Decreasing","Undetermined","No Trend",NA,"Undetermined","Undetermined","Increasing","Increasing",NA,"No Trend","Increasing","No Trend","Undetermined","Undetermined","Increasing",NA,"Undetermined","No Trend","No Trend","Undetermined","Undetermined"
"180890023","No","Indiana",NA,NA,"No Trend",NA,"No Trend","No Trend",NA,"Undetermined","No Trend","Increasing","Increasing",NA,"Decreasing","No Trend",NA,"No Trend","No Trend","Increasing",NA,"No Trend","No Trend","No Trend","No Trend","Undetermined"
"180890030","No","Indiana",NA,NA,"Increasing",NA,NA,"No Trend",NA,NA,NA,"Increasing","Increasing",NA,"Decreasing","Increasing",NA,NA,NA,"Increasing",NA,NA,"Increasing","No Trend","No Trend","Undetermined"
"180890034","No","Indiana",NA,NA,"Undetermined",NA,NA,"Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined",NA,NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"180891003","No","Indiana",NA,NA,"Undetermined",NA,NA,"Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined",NA,NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"180892008","No","Indiana",NA,NA,"No Trend",NA,NA,"Decreasing",NA,NA,NA,"Increasing","Increasing",NA,"Decreasing","Increasing",NA,NA,NA,"Increasing",NA,NA,"Increasing","No Trend","Decreasing","Undetermined"
"180970057","No","Indiana",NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined",NA,"Undetermined","Undetermined","Undetermined","Undetermined","Undetermined","Undetermined","Undetermined","Undetermined","Undetermined","Undetermined","Undetermined",NA,"Undetermined","Undetermined","Undetermined","Undetermined","Undetermined"
"180970073","No","Indiana",NA,NA,NA,NA,NA,"Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined",NA,NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"180970078","No","Indiana",NA,NA,"No Trend","Decreasing",NA,"Decreasing",NA,NA,NA,"Increasing","Increasing",NA,"Decreasing","No Trend","No Trend",NA,NA,"No Trend",NA,NA,"No Trend","Decreasing","No Trend","Undetermined"
"180970084","No","Indiana",NA,NA,"Undetermined",NA,NA,"Decreasing",NA,NA,NA,"Undetermined","Undetermined",NA,"Decreasing","Undetermined",NA,NA,NA,"Undetermined",NA,NA,"Undetermined","Decreasing","Undetermined","Undetermined"
"180970085","No","Indiana",NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined",NA,"Undetermined","Undetermined","Undetermined","Undetermined",NA,"Undetermined","Undetermined","Undetermined","Undetermined","Undetermined","Undetermined",NA,"Undetermined","Undetermined","Undetermined","Undetermined","Undetermined"
"181270024","No","Indiana",NA,NA,"No Trend",NA,NA,"Decreasing",NA,NA,NA,"Increasing","Increasing",NA,"No Trend","No Trend",NA,NA,NA,"Increasing",NA,NA,"Increasing","No Trend","No Trend","Undetermined"
"181570008","No","Indiana",NA,NA,"No Trend",NA,NA,"No Trend",NA,NA,NA,"No Trend","No Trend",NA,"No Trend","Undetermined",NA,NA,NA,"No Trend",NA,NA,"Undetermined","No Trend","Undetermined","Undetermined"
"181630016","No","Indiana",NA,NA,"No Trend",NA,NA,"Decreasing",NA,NA,NA,"Increasing","Increasing",NA,"Decreasing","Increasing",NA,NA,NA,"Increasing",NA,NA,"No Trend","No Trend","No Trend","Undetermined"
"181670025","No","Indiana",NA,NA,"Undetermined",NA,NA,"Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined",NA,NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"190450019","No","Iowa",NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA,NA
"191130033","No","Iowa",NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA,NA
"191130037","No","Iowa",NA,NA,"Undetermined","Undetermined",NA,"Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"191130039","No","Iowa",NA,NA,"Undetermined","Undetermined",NA,"Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA
"191130040","No","Iowa",NA,NA,"Undetermined","Undetermined",NA,"Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"191130050","No","Iowa",NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA,NA
"191130060","No","Iowa",NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA,NA
"191130070","No","Iowa",NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA,NA
"191530030","No","Iowa",NA,NA,"No Trend","No Trend",NA,"No Trend",NA,NA,NA,"Increasing","Undetermined",NA,"No Trend","Undetermined","No Trend",NA,NA,"Decreasing",NA,NA,"Undetermined","No Trend","Undetermined","Undetermined"
"191532510","No","Iowa",NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA,NA
"191630015","No","Iowa",NA,NA,"Undetermined","No Trend",NA,"No Trend",NA,NA,NA,"No Trend","Undetermined",NA,"No Trend","Undetermined","No Trend",NA,NA,"No Trend",NA,NA,"Undetermined","No Trend","Undetermined","Undetermined"
